Account,Date,Channel,Industry,Location,kWh,high,low,average,power_factor,kVARh
26438261005,1/1/2014,605107806 1 kWh,BPL,Copley.Square,21480.59951,29.1,19.2,24.15,0.890695677,10791.62974
26438261005,1/2/2014,605107806 1 kWh,BPL,Copley.Square,25012.94945,26.2,2.1,14.15,0.889547538,12588.02971
26438261005,1/3/2014,605107806 1 kWh,BPL,Copley.Square,22934.78951,14.2,2.1,8.15,0.880955729,12191.2797
26438261005,1/4/2014,605107806 1 kWh,BPL,Copley.Square,24221.21945,27.1,2.1,14.6,0.875788493,13267.10969
26438261005,1/5/2014,605107806 1 kWh,BPL,Copley.Square,15438.86964,37.9,24.3,31.1,0.868661705,8701.379818
26438261005,1/6/2014,605107806 1 kWh,BPL,Copley.Square,25765.07944,55.9,29.1,42.5,0.884399014,13128.20969
26438261005,1/7/2014,605107806 1 kWh,BPL,Copley.Square,25210.22942,29.1,9.1,19.1,0.8839055,13036.52972
26438261005,1/8/2014,605107806 1 kWh,BPL,Copley.Square,25701.50947,22.1,7.2,14.65,0.885171142,13230.08971
26438261005,1/9/2014,605107806 1 kWh,BPL,Copley.Square,26053.94944,30.2,19.2,24.7,0.886514306,13225.85969
26438261005,1/10/2014,605107806 1 kWh,BPL,Copley.Square,23624.90945,37,18.1,27.55,0.885833837,12089.93972
26438261005,1/11/2014,605107806 1 kWh,BPL,Copley.Square,20775.83955,59,34,46.5,0.879915809,11139.53973
26438261005,1/12/2014,605107806 1 kWh,BPL,Copley.Square,16472.09962,54,37,45.5,0.874449771,9136.529789
26438261005,1/13/2014,605107806 1 kWh,BPL,Copley.Square,25844.36944,51.1,31.1,41.1,0.889749323,13140.47969
26438261005,1/14/2014,605107806 1 kWh,BPL,Copley.Square,25523.75943,50,44.1,47.05,0.880361212,13370.8197
26438261005,1/15/2014,605107806 1 kWh,BPL,Copley.Square,25593.71945,48,35.1,41.55,0.882299115,13228.07971
26438261005,1/16/2014,605107806 1 kWh,BPL,Copley.Square,25698.89942,39,33.1,36.05,0.883344785,13253.33969
26438261005,1/17/2014,605107806 1 kWh,BPL,Copley.Square,22935.38945,46,33.1,39.55,0.880315399,11954.06974
26438261005,1/18/2014,605107806 1 kWh,BPL,Copley.Square,21113.6695,37.9,32,34.95,0.875140177,11436.98973
26438261005,1/19/2014,605107806 1 kWh,BPL,Copley.Square,15779.63969,35.1,30.2,32.65,0.868861094,8896.559791
26438261005,1/20/2014,605107806 1 kWh,BPL,Copley.Square,23690.72946,41,26.2,33.6,0.878553427,12587.63975
26438261005,1/21/2014,605107806 1 kWh,BPL,Copley.Square,26075.54938,26.2,11.1,18.65,0.887198424,13144.5897
26438261005,1/22/2014,605107806 1 kWh,BPL,Copley.Square,25474.4394,18.1,7.2,12.65,0.884498997,13222.58968
26438261005,1/23/2014,605107806 1 kWh,BPL,Copley.Square,25234.94942,22.1,6.3,14.2,0.883059153,13071.2097
26438261005,1/24/2014,605107806 1 kWh,BPL,Copley.Square,23376.53952,19.2,7.2,13.2,0.888506538,11782.19973
26438261005,1/25/2014,605107806 1 kWh,BPL,Copley.Square,22737.65947,37.9,15.3,26.6,0.895486663,11262.47973
26438261005,1/26/2014,605107806 1 kWh,BPL,Copley.Square,17810.8196,26.2,16.2,21.2,0.877441865,9688.379788
26438261005,1/27/2014,605107806 1 kWh,BPL,Copley.Square,25498.25945,46.9,21.2,34.05,0.886933021,12916.76971
26438261005,1/28/2014,605107806 1 kWh,BPL,Copley.Square,26345.39939,21.2,13.1,17.15,0.886984559,13290.08969
26438261005,1/29/2014,605107806 1 kWh,BPL,Copley.Square,25594.22946,27.1,15.3,21.2,0.892138708,12736.9497
26438261005,1/30/2014,605107806 1 kWh,BPL,Copley.Square,24891.05947,30.2,16.2,23.2,0.890563635,12496.6497
26438261005,1/31/2014,605107806 1 kWh,BPL,Copley.Square,22339.07946,43,22.1,32.55,0.888530628,11180.21975
26438261005,2/1/2014,605107806 1 kWh,BPL,Copley.Square,21402.98949,42.1,32,37.05,0.886051774,10903.76974
26438261005,2/2/2014,605107806 1 kWh,BPL,Copley.Square,15557.93967,55,31.1,43.05,0.870444965,8716.889803
26438261005,2/3/2014,605107806 1 kWh,BPL,Copley.Square,25641.86935,41,27.1,34.05,0.895085646,12417.53973
26438261005,2/4/2014,605107806 1 kWh,BPL,Copley.Square,24605.99949,35.1,23.2,29.15,0.896377406,12101.24973
26438261005,2/5/2014,605107806 1 kWh,BPL,Copley.Square,25079.54951,33.1,24.3,28.7,0.894809691,12471.89971
26438261005,2/6/2014,605107806 1 kWh,BPL,Copley.Square,25164.68944,28.2,19.2,23.7,0.897266142,12208.22972
26438261005,2/7/2014,605107806 1 kWh,BPL,Copley.Square,23148.14949,30.2,19.2,24.7,0.895694941,11299.07976
26438261005,2/8/2014,605107806 1 kWh,BPL,Copley.Square,21642.86953,29.1,18.1,23.6,0.88629058,11045.66975
26438261005,2/9/2014,605107806 1 kWh,BPL,Copley.Square,16124.93962,30.2,21.2,25.7,0.873062056,8925.689789
26438261005,2/10/2014,605107806 1 kWh,BPL,Copley.Square,26564.39933,30.2,20.1,25.15,0.895422795,12859.5897
26438261005,2/11/2014,605107806 1 kWh,BPL,Copley.Square,27132.56933,25.2,14.2,19.7,0.897925639,12907.97968
26438261005,2/12/2014,605107806 1 kWh,BPL,Copley.Square,27324.89931,23.2,8.2,15.7,0.899875219,12880.40973
26438261005,2/13/2014,605107806 1 kWh,BPL,Copley.Square,26108.78938,36,21.2,28.6,0.895515455,12691.6197
26438261005,2/14/2014,605107806 1 kWh,BPL,Copley.Square,23241.89952,37,29.1,33.05,0.892715938,11310.02974
26438261005,2/15/2014,605107806 1 kWh,BPL,Copley.Square,21910.04953,35.1,27.1,31.1,0.89022851,10945.13976
26438261005,2/16/2014,605107806 1 kWh,BPL,Copley.Square,15274.70965,33.1,23.2,28.15,0.875441292,8378.339817
26438261005,2/17/2014,605107806 1 kWh,BPL,Copley.Square,23580.77949,29.1,14.2,21.65,0.894879438,11431.19975
26438261005,2/18/2014,605107806 1 kWh,BPL,Copley.Square,26370.56936,35.1,14.2,24.65,0.895936861,12707.27972
26438261005,2/19/2014,605107806 1 kWh,BPL,Copley.Square,26320.5894,36,21.2,28.6,0.893243528,12928.5897
26438261005,2/20/2014,605107806 1 kWh,BPL,Copley.Square,26246.6094,48,33.1,40.55,0.887176323,13293.62969
26438261005,2/21/2014,605107806 1 kWh,BPL,Copley.Square,22538.27951,44.1,34,39.05,0.889766184,11173.16975
26438261005,2/22/2014,605107806 1 kWh,BPL,Copley.Square,19688.06955,50,34,42,0.893779757,9601.679796
26438261005,2/23/2014,605107806 1 kWh,BPL,Copley.Square,15186.74967,52,34,43,0.875132396,8385.959793
26438261005,2/24/2014,605107806 1 kWh,BPL,Copley.Square,25882.28938,45,24.3,34.65,0.895669,12480.86971
26438261005,2/25/2014,605107806 1 kWh,BPL,Copley.Square,24815.03944,29.1,22.1,25.6,0.891328705,12405.53969
26438261005,2/26/2014,605107806 1 kWh,BPL,Copley.Square,25106.48941,32,16.2,24.1,0.892850753,12373.22971
26438261005,2/27/2014,605107806 1 kWh,BPL,Copley.Square,25000.13942,30.2,12.2,21.2,0.892764774,12347.18973
26438261005,2/28/2014,605107806 1 kWh,BPL,Copley.Square,22465.76951,25.2,10.2,17.7,0.893176618,10913.84973
26438261005,3/1/2014,605107806 1 kWh,BPL,Copley.Square,21291.38956,36,16.2,26.1,0.883928042,10888.58974
26438261005,3/2/2014,605107806 1 kWh,BPL,Copley.Square,15561.80966,39.9,30.2,35.05,0.870611931,8696.429797
26438261005,3/3/2014,605107806 1 kWh,BPL,Copley.Square,26111.78942,30.2,16.2,23.2,0.895329698,12535.58971
26438261005,3/4/2014,605107806 1 kWh,BPL,Copley.Square,25758.95943,31.1,12.2,21.65,0.897743531,12241.94975
26438261005,3/5/2014,605107806 1 kWh,BPL,Copley.Square,25502.09943,29.1,20.1,24.6,0.895252941,12185.93969
26438261005,3/6/2014,605107806 1 kWh,BPL,Copley.Square,25510.94942,25.2,11.1,18.15,0.894668302,12298.61972
26438261005,3/7/2014,605107806 1 kWh,BPL,Copley.Square,22247.18952,34,16.2,25.1,0.891402774,10868.8798
26438261005,3/8/2014,605107806 1 kWh,BPL,Copley.Square,19996.58952,55,27.1,41.05,0.886514191,10198.28977
26438261005,3/10/2014,605107806 1 kWh,BPL,Copley.Square,25021.46947,44.1,28.2,36.15,0.896978236,11866.61973
26438261005,3/11/2014,605107806 1 kWh,BPL,Copley.Square,24498.74943,60.1,34,47.05,0.888926101,12133.88972
26438261005,3/12/2014,605107806 1 kWh,BPL,Copley.Square,24292.91941,46,37,41.5,0.883635281,12272.00972
26438261005,3/13/2014,605107806 1 kWh,BPL,Copley.Square,25575.23935,37,17.2,27.1,0.892409396,12391.07973
26438261005,3/14/2014,605107806 1 kWh,BPL,Copley.Square,21885.08952,39,16.2,27.6,0.886732854,11094.62975
26438261005,3/15/2014,605107806 1 kWh,BPL,Copley.Square,19887.77963,57,37.9,47.45,0.880880944,10459.13978
26438261005,3/16/2014,605107806 1 kWh,BPL,Copley.Square,14902.82969,37,23.2,30.1,0.874554007,8139.689828
26438261005,3/17/2014,605107806 1 kWh,BPL,Copley.Square,25180.91946,27.1,16.2,21.65,0.895728236,12077.48972
26438261005,3/18/2014,605107806 1 kWh,BPL,Copley.Square,25584.14944,33.1,20.1,26.6,0.895873503,12388.2597
26438261005,3/19/2014,605107806 1 kWh,BPL,Copley.Square,25096.97942,41,27.1,34.05,0.887200545,12779.60968
26438261005,3/20/2014,605107806 1 kWh,BPL,Copley.Square,23902.04945,52,37,44.5,0.887326549,12112.46972
26438261005,3/21/2014,605107806 1 kWh,BPL,Copley.Square,21238.37957,45,34,39.5,0.885137358,10833.50976
26438261005,3/22/2014,605107806 1 kWh,BPL,Copley.Square,19797.08959,57,28.2,42.6,0.87921117,10531.16978
26438261005,3/23/2014,605107806 1 kWh,BPL,Copley.Square,14616.26968,44.1,22.1,33.1,0.87274242,8094.659797
26438261005,3/24/2014,605107806 1 kWh,BPL,Copley.Square,24570.89951,33.1,17.2,25.15,0.892194597,12166.94974
26438261005,3/25/2014,605107806 1 kWh,BPL,Copley.Square,24814.85948,39,21.2,30.1,0.890689677,12412.4097
26438261005,3/26/2014,605107806 1 kWh,BPL,Copley.Square,24909.56942,35.1,24.3,29.7,0.891482667,12428.00973
26438261005,3/27/2014,605107806 1 kWh,BPL,Copley.Square,25443.08938,46,21.2,33.6,0.894198378,12343.4997
26438261005,3/28/2014,605107806 1 kWh,BPL,Copley.Square,21302.3095,60.1,35.1,47.6,0.889971806,10516.07975
26438261005,3/29/2014,605107806 1 kWh,BPL,Copley.Square,19801.9196,52,39,45.5,0.886581323,10065.95976
26438261005,3/30/2014,605107806 1 kWh,BPL,Copley.Square,14210.66972,43,36,39.5,0.877508854,7671.779805
26438261005,3/31/2014,605107806 1 kWh,BPL,Copley.Square,24877.64942,42.1,34,38.05,0.899065674,11705.15973
26438261005,4/1/2014,605107806 1 kWh,BPL,Copley.Square,24603.05946,46.9,34,40.45,0.894528583,11992.22976
26438261005,4/2/2014,605107806 1 kWh,BPL,Copley.Square,24546.65944,46,37,41.5,0.889977844,12235.64972
26438261005,4/3/2014,605107806 1 kWh,BPL,Copley.Square,24516.71943,54,34,44,0.891900972,12170.93976
26438261005,4/4/2014,605107806 1 kWh,BPL,Copley.Square,21405.17948,44.1,37,40.55,0.887159247,10741.76977
26438261005,4/5/2014,605107806 1 kWh,BPL,Copley.Square,19887.59958,54,37.9,45.95,0.880869556,10409.81977
26438261005,4/6/2014,605107806 1 kWh,BPL,Copley.Square,14311.07973,59,35.1,47.05,0.871409694,7950.269812
26438261005,4/7/2014,605107806 1 kWh,BPL,Copley.Square,23526.05957,59,37.9,48.45,0.883071635,12131.90973
26438261005,4/8/2014,605107806 1 kWh,BPL,Copley.Square,22598.78956,64.9,43,53.95,0.875157479,12156.65973
26438261005,4/9/2014,605107806 1 kWh,BPL,Copley.Square,22267.34948,59,41,50,0.885484941,11423.12975
26438261005,4/10/2014,605107806 1 kWh,BPL,Copley.Square,22141.49949,60.1,34,47.05,0.887572979,11293.37974
26438261005,4/11/2014,605107806 1 kWh,BPL,Copley.Square,18832.34957,69.1,48,58.55,0.878659479,10067.99979
26438261005,4/12/2014,605107806 1 kWh,BPL,Copley.Square,18558.08958,69.1,48.9,59,0.887112087,9781.019771
26438261005,4/13/2014,605107806 1 kWh,BPL,Copley.Square,13608.29969,63,45,54,0.880087434,7307.639855
26438261005,4/14/2014,605107806 1 kWh,BPL,Copley.Square,22539.92951,75,57,66,0.86930542,12731.27972
26438261005,4/15/2014,605107806 1 kWh,BPL,Copley.Square,23547.32945,68,41,54.5,0.862248622,13740.62969
26438261005,4/16/2014,605107806 1 kWh,BPL,Copley.Square,22762.43951,45,31.1,38.05,0.885194424,11670.62973
26438261005,4/17/2014,605107806 1 kWh,BPL,Copley.Square,23678.12945,39.9,32,35.95,0.893381799,11708.69974
26438261005,4/18/2014,605107806 1 kWh,BPL,Copley.Square,21297.41952,42.1,31.1,36.6,0.894369542,10336.94977
26438261005,4/19/2014,605107806 1 kWh,BPL,Copley.Square,19011.56956,63,37,50,0.887866813,9826.199789
26438261005,4/20/2014,605107806 1 kWh,BPL,Copley.Square,13269.35969,48,39,43.5,0.875436875,7285.259849
26438261005,4/21/2014,605107806 1 kWh,BPL,Copley.Square,21445.25952,69.1,36,52.55,0.885885615,11247.62974
26438261005,4/22/2014,605107806 1 kWh,BPL,Copley.Square,22131.14946,73,46.9,59.95,0.882347326,11605.64976
26438261005,4/23/2014,605107806 1 kWh,BPL,Copley.Square,22279.31949,57,46,51.5,0.883254896,11603.63975
26438261005,4/24/2014,605107806 1 kWh,BPL,Copley.Square,23197.88954,59,42.1,50.55,0.889378215,11676.98972
26438261005,4/25/2014,605107806 1 kWh,BPL,Copley.Square,20016.53954,57,43,50,0.886678503,10118.57977
26438261005,4/26/2014,605107806 1 kWh,BPL,Copley.Square,19393.94959,46.9,42.1,44.5,0.886760125,9938.429768
26438261005,4/27/2014,605107806 1 kWh,BPL,Copley.Square,14102.90965,50,41,45.5,0.884172101,7468.949825
26438261005,4/28/2014,605107806 1 kWh,BPL,Copley.Square,23705.66941,54,42.1,48.05,0.893709458,11510.39975
26438261005,4/29/2014,605107806 1 kWh,BPL,Copley.Square,22055.48953,44.1,42.1,43.1,0.90247674,10198.13973
26438261005,4/30/2014,605107806 1 kWh,BPL,Copley.Square,23014.04948,45,41,43,0.900490365,10898.33977
26438261005,5/1/2014,605107806 1 kWh,BPL,Copley.Square,22273.19949,60.1,44.1,52.1,0.894736663,10953.20976
26438261005,5/2/2014,605107806 1 kWh,BPL,Copley.Square,19592.81954,69.1,50,59.55,0.890312365,9891.329761
26438261005,5/3/2014,605107806 1 kWh,BPL,Copley.Square,18113.18961,66.9,50,58.45,0.887089771,9450.689764
26438261005,5/4/2014,605107806 1 kWh,BPL,Copley.Square,13061.21973,62.1,50,56.05,0.87536683,7153.25981
26438261005,5/5/2014,605107806 1 kWh,BPL,Copley.Square,21298.0495,66,50,58,0.883900622,11095.31975
26438261005,5/6/2014,605107806 1 kWh,BPL,Copley.Square,21300.95954,64,46.9,55.45,0.885800951,10916.72976
26438261005,5/7/2014,605107806 1 kWh,BPL,Copley.Square,22262.78957,69.1,46.9,58,0.884010201,11397.47975
26438261005,5/8/2014,605107806 1 kWh,BPL,Copley.Square,21727.61949,62.1,48,55.05,0.876675885,11705.51972
26438261005,5/9/2014,605107806 1 kWh,BPL,Copley.Square,19031.27958,59,50,54.5,0.87298551,10445.99975
26438261005,5/10/2014,605107806 1 kWh,BPL,Copley.Square,18408.35956,80.1,57,68.55,0.859408674,10822.31977
26438261005,5/11/2014,605107806 1 kWh,BPL,Copley.Square,14003.90969,80.1,62.1,71.1,0.846865323,8621.609808
26438261005,5/12/2014,605107806 1 kWh,BPL,Copley.Square,24244.79943,84.9,52,68.45,0.858087781,13976.54972
26438261005,5/13/2014,605107806 1 kWh,BPL,Copley.Square,23613.17948,52,46,49,0.862289712,13499.2497
26438261005,5/14/2014,605107806 1 kWh,BPL,Copley.Square,23706.47949,63,46,54.5,0.860464705,13685.99973
26438261005,5/15/2014,605107806 1 kWh,BPL,Copley.Square,24677.18943,77,57,67,0.866836049,13809.86966
26438261005,5/16/2014,605107806 1 kWh,BPL,Copley.Square,23744.69945,73,59,66,0.86740242,13314.26966
