Account,Date,Channel,Industry,Location,kWh,high,low,average,power_factor,kVARh
26436491000,01/01/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,122.528,29.1,19.2,24.15,0.551475622,166.652
26436491000,01/02/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,146.572,26.2,2.1,14.15,0.562095035,196.264
26436491000,01/03/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,152.992,14.2,2.1,8.15,0.580472174,200.42
26436491000,01/04/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,187.716,27.1,2.1,14.6,0.601046872,242.984
26436491000,01/05/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,158.22,37.9,24.3,31.1,0.582477938,210.904
26436491000,01/06/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,117.696,55.9,29.1,42.5,0.550217378,138.28
26436491000,01/07/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,151.056,29.1,9.1,19.1,0.572733767,176.108
26436491000,01/08/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,151,22.1,7.2,14.65,0.571708847,192.928
26436491000,01/09/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,149.648,30.2,19.2,24.7,0.570604601,179.66
26436491000,01/10/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,118.372,37,18.1,27.55,0.543791066,156.572
26436491000,01/11/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,49.644,59,34,46.5,0.462649788,84.928
26436491000,01/12/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,50.412,54,37,45.5,0.447686958,87.172
26436491000,01/13/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,130.416,51.1,31.1,41.1,0.561646094,151.884
26436491000,01/14/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,114.976,50,44.1,47.05,0.562247451,133.212
26436491000,01/15/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,110.364,48,35.1,41.55,0.527851826,150.7
26436491000,01/16/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,91.34,39,33.1,36.05,0.560802056,104.612
26436491000,01/17/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,109.372,46,33.1,39.55,0.559252493,130.292
26436491000,01/18/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,65.66,37.9,32,34.95,0.485396642,102.416
26436491000,01/19/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,84.196,35.1,30.2,32.65,0.496331052,123.256
26436491000,01/20/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,81.16,41,26.2,33.6,0.488486128,120.56
26436491000,01/21/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,175.276,26.2,11.1,18.65,0.601267347,199.72
26436491000,01/22/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,146.564,18.1,7.2,12.65,0.568099354,191.228
26436491000,01/23/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,175.92,22.1,6.3,14.2,0.600604021,197.732
26436491000,01/24/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,195.656,19.2,7.2,13.2,0.613821642,228.98
26436491000,01/25/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,98.62,37.9,15.3,26.6,0.504270802,143.016
26436491000,01/26/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,139.42,26.2,16.2,21.2,0.562602531,187.76
26436491000,01/27/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,159.308,46.9,21.2,34.05,0.595710941,187.32
26436491000,01/28/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,169.08,21.2,13.1,17.15,0.588605427,187.84
26436491000,01/29/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,146.728,27.1,15.3,21.2,0.56491067,190.36
26436491000,01/30/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,149.216,30.2,16.2,23.2,0.586182622,166.144
26436491000,01/31/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,115.452,43,22.1,32.55,0.566507354,138.7
26436491000,02/01/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,53.504,42.1,32,37.05,0.480415215,77.604
26436491000,02/02/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,47.016,55,31.1,43.05,0.471040351,70.444
26436491000,02/03/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,123.848,41,27.1,34.05,0.594537333,131.916
26436491000,02/04/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,129.18,35.1,23.2,29.15,0.584896573,133.784
26436491000,02/05/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,105.164,33.1,24.3,28.7,0.542173611,138.412
26436491000,02/06/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,142.048,28.2,19.2,23.7,0.583571882,147.068
26436491000,02/07/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,139.912,30.2,19.2,24.7,0.584058056,153.064
26436491000,02/08/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,89.704,29.1,18.1,23.6,0.536156215,120.104
26436491000,02/09/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,70.232,30.2,21.2,25.7,0.519510417,96.816
26436491000,02/10/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,150.352,30.2,20.1,25.15,0.600565007,164.856
26436491000,02/11/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,138.808,25.2,14.2,19.7,0.590230948,144.916
26436491000,02/12/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,131.996,23.2,8.2,15.7,0.581963313,156.12
26436491000,02/13/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,128.864,36,21.2,28.6,0.601389274,128.936
26436491000,02/14/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,119.58,37,29.1,33.05,0.567886431,138.848
26436491000,02/15/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,62.292,35.1,27.1,31.1,0.503355003,88.628
26436491000,02/16/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,87.292,33.1,23.2,28.15,0.533567069,118.936
26436491000,02/17/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,88.588,29.1,14.2,21.65,0.531236503,116.32
26436491000,02/18/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,97.988,35.1,14.2,24.65,0.558204736,126.756
26436491000,02/19/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,83.956,36,21.2,28.6,0.526735274,111.98
26436491000,02/20/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,53.38,48,33.1,40.55,0.48488425,77.628
26436491000,02/21/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,22.32,44.1,34,39.05,0.433718906,40.988
26436491000,02/22/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,90.668,50,34,42,0.518887885,121.968
26436491000,02/23/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,69.52,52,34,43,0.514287212,97.028
26436491000,02/24/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,154.792,45,24.3,34.65,0.591219868,169.328
26436491000,02/25/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,143.004,29.1,22.1,25.6,0.580232507,155.044
26436491000,02/26/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,130.984,32,16.2,24.1,0.568873882,162.356
26436491000,02/27/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,152.988,30.2,12.2,21.2,0.602636285,167.996
26436491000,02/28/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,129.604,25.2,10.2,17.7,0.588075052,154.712
26436491000,03/01/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,108.404,36,16.2,26.1,0.552480483,140.644
26436491000,03/02/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,75.808,39.9,30.2,35.05,0.525373594,103.628
26436491000,03/03/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,189.452,30.2,16.2,23.2,0.646404774,187.144
26436491000,03/04/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,180.868,31.1,12.2,21.65,0.654657639,187.496
26436491000,03/05/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,148.864,29.1,20.1,24.6,0.624673135,177.752
26436491000,03/06/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,160.728,25.2,11.1,18.15,0.632889934,169.896
26436491000,03/07/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,126.856,34,16.2,25.1,0.599185069,140.604
26436491000,03/08/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,45.788,55,27.1,41.05,0.476018583,70.36
26436491000,03/10/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,119.884,44.1,28.2,36.15,0.577508493,132.6
26436491000,03/11/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,125.056,60.1,34,47.05,0.58940849,123.748
26436491000,03/12/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,55.116,46,37,41.5,0.528403014,75.572
26436491000,03/13/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,151.796,37,17.2,27.1,0.603956889,156.388
26436491000,03/14/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,132.66,39,16.2,27.6,0.594324837,153.28
26436491000,03/15/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,57.104,57,37.9,47.45,0.481145844,84.588
26436491000,03/16/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,69.924,37,23.2,30.1,0.499499969,97.096
26436491000,03/17/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,55.168,27.1,16.2,21.65,0.494753208,77.952
26436491000,03/18/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,142.5,33.1,20.1,26.6,0.603275087,154.416
26436491000,03/19/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,107.536,41,27.1,34.05,0.553003476,137.056
26436491000,03/20/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,128.012,52,37,44.5,0.600336649,127.72
26436491000,03/21/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,129.664,45,34,39.5,0.58737584,135.616
26436491000,03/22/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,50.208,57,28.2,42.6,0.470861021,75.928
26436491000,03/23/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,52.34,44.1,22.1,33.1,0.471226313,76.992
26436491000,03/24/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,154.488,33.1,17.2,25.15,0.598063524,158.316
26436491000,03/25/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,134.988,39,21.2,30.1,0.587198639,138.856
26436491000,03/26/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,125.144,35.1,24.3,29.7,0.557574826,159.208
26436491000,03/27/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,150.404,46,21.2,33.6,0.610053441,147.484
26436491000,03/28/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,124.276,60.1,35.1,47.6,0.586619267,127.392
26436491000,03/29/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,29.12,52,39,45.5,0.454131604,49.652
26436491000,03/30/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,58.78,43,36,39.5,0.492184875,85.196
26436491000,03/31/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,142.068,42.1,34,38.05,0.59907209,161.924
26436491000,04/01/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,121.304,46.9,34,40.45,0.588339615,123.484
26436491000,04/02/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,78.448,46,37,41.5,0.535302319,104.352
26436491000,04/03/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,84.984,54,34,44,0.587916403,72.16
26436491000,04/04/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,103.292,44.1,37,40.55,0.59702541,114.076
26436491000,04/05/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,39.948,54,37.9,45.95,0.468567351,63.364
26436491000,04/06/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,36.624,59,35.1,47.05,0.46138841,58.788
26436491000,04/07/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,105.4,59,37.9,48.45,0.569030031,106.172
26436491000,04/08/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,102.32,64.9,43,53.95,0.578287694,94.936
26436491000,04/09/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,86.928,59,41,50,0.543681618,116.7
26436491000,04/10/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,99.556,60.1,34,47.05,0.580900306,93.696
26436491000,04/11/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,77.976,69.1,48,58.55,0.551311774,88.828
26436491000,04/12/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,54.2,69.1,48.9,59,0.502251903,85.312
26436491000,04/13/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,34.956,63,45,54,0.468356646,57.424
26436491000,04/14/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,69.3,75,57,66,0.576772517,65.632
26436491000,04/15/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,59.712,68,41,54.5,0.562025444,64.324
26436491000,04/16/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,92.524,45,31.1,38.05,0.55315934,121.636
26436491000,04/17/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,125.084,39.9,32,35.95,0.599697646,125.416
26436491000,04/18/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,25.7,42.1,31.1,36.6,0.456672854,45.844
26436491000,04/19/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,53.996,63,37,50,0.484274948,80.616
26436491000,04/20/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,40.332,48,39,43.5,0.469139069,63.58
26436491000,04/21/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,24.368,69.1,36,52.55,0.437861722,44.908
26436491000,04/22/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,65.928,73,46.9,59.95,0.516620622,90.64
26436491000,04/23/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,91.528,57,46,51.5,0.547101035,119.592
26436491000,04/24/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,72.972,59,42.1,50.55,0.530791972,98.24
26436491000,04/25/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,61.86,57,43,50,0.525138951,84.216
26436491000,04/26/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,37.396,46.9,42.1,44.5,0.484243462,57.512
26436491000,04/27/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,39.66,50,41,45.5,0.485386205,58.924
26436491000,04/28/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,123.46,54,42.1,48.05,0.606538205,116.404
26436491000,04/29/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,118.024,44.1,42.1,43.1,0.612551281,115.468
26436491000,04/30/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,96.768,45,41,43,0.567584462,120.676
26436491000,05/01/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,97.824,60.1,44.1,52.1,0.585321007,101.884
26436491000,05/02/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,53.912,69.1,50,59.55,0.565842347,60.392
26436491000,05/03/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,47.328,66.9,50,58.45,0.519373885,73.908
26436491000,05/04/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,27.036,62.1,50,56.05,0.471654434,46.304
26436491000,05/05/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,49.956,66,50,58,0.553624948,61.088
26436491000,05/06/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,64.448,64,46.9,55.45,0.567576149,61.392
26436491000,05/07/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,43.12,69.1,46.9,58,0.528592483,62.464
26436491000,05/08/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,72.244,62.1,48,55.05,0.574244674,68.176
26436491000,05/09/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,47.356,59,50,54.5,0.532828958,63.492
26436491000,05/10/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,45.9,80.1,57,68.55,0.497504122,76.128
26436491000,05/11/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,28.956,80.1,62.1,71.1,0.472257882,50.848
26436491000,05/12/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,64.14,84.9,52,68.45,0.56033209,63.264
26436491000,05/13/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,60.812,52,46,49,0.579842465,65.476
26436491000,05/14/2014,605104473 1 kWh,SCH,DORCHESTER.HIGH,43.416,63,46,54.5,0.521514882,66.248
